,scores,name,has_open_top,has_open_bottom
2246,1.5585254623770446,BB47CHm0446,False,False
2247,0.8081851405973799,BB47CHm0447,False,False
2248,-0.19969566210298725,BB47CHm0448,False,True
2252,-1.6306304670199148,BB47CHm0452,False,True
2254,0.3565113510325815,BB47CHm0454,False,True
2257,0.2367873500099572,BB47CHm0457,False,False
2258,-0.0646450028008746,BB47CHm0458,False,True
2259,-0.4080455487415683,BB47CHm0459,False,True
2260,-0.4083351336189871,BB47CHm0460,False,True
2263,0.5090574986343538,BB47CHm0463,False,False
2265,0.4361138338801353,BB47CHm0465,False,False
2266,0.6351568095679303,BB47CHm0466,False,False
2268,-0.4721348549286798,BB47CHm0468,False,True
2269,-0.4301310779891489,BB47CHm0469,False,True
2270,0.3607130656576809,BB47CHm0470,False,False
2271,1.7468046845229548,BB47CHm0471,False,False
2272,-0.1924231274587891,BB47CHm0472,False,False
2279,-0.3985989405317205,BB47CHm0479,False,True
2280,-0.3800436289582553,BB47CHm0480,False,True
2283,3.593170054694905,BB47CHm0483,False,False
2284,-0.5621091379725157,BB47CHm0484,False,True
2287,1.3713103653679446,BB47CHm0487,False,False
2289,2.3416067228411235,BB47CHm0489,False,False
2291,1.6829226618870954,BB47CHm0491,False,False
2293,0.046986943085491006,BB47CHm0493,False,True
2295,0.595120485811164,BB47CHm0495,False,False
2299,1.6061182453240732,BB47CHm0499,False,False
2301,1.1620352207824731,BB47CHm0501,False,False
2307,1.3875182821469147,BB47CHm0507,False,False
2314,-0.6167743241248027,BB47CHm0514,False,True
2315,-0.4531063323945511,BB47CHm0515,False,True
2317,1.4731790043310042,BB47CHm0517,False,False
2318,1.240922108443452,BB47CHm0518,False,False
2320,1.3748272122605796,BB47CHm0520,False,False
2321,-0.6336061658672802,BB47CHm0521,False,True
2325,0.723215417861052,BB47CHm0525,False,False
2328,1.6772224511353944,BB47CHm0528,False,False
2329,-0.7202159252826646,BB47CHm0529,False,True
2331,-0.24446108917134485,BB47CHm0531,False,True
2333,1.7675541297088455,BB47CHm0533,False,False
2334,1.3830913515431345,BB47CHm0534,False,False
2338,-0.2317194736407435,BB47CHm0538,False,True
2339,0.5860952582836135,BB47CHm0539,False,False
2341,2.104530390754612,BB47CHm0541,False,False
2342,0.5104642346987182,BB47CHm0542,False,False
2343,-1.1001247015537592,BB47CHm0543,False,True
2345,-0.3849053899489349,BB47CHm0545,False,True
2346,0.6079780477195313,BB47CHm0546,False,False
2348,-0.617128378947817,BB47CHm0548,False,True
2349,0.926905478468424,BB47CHm0549,False,False
2350,2.8791330158032227,BB47CHm0550,False,False
2354,-0.4092330143715778,BB47CHm0554,False,True
2361,0.3474547733819325,BB47CHm0561,False,False
2363,1.1660336704631435,BB47CHm0563,False,False
2365,-0.6387987782932156,BB47CHm0565,False,True
2367,2.508275422232602,BB47CHm0567,False,False
2368,-0.5900269489068087,BB47CHm0568,False,True
2369,-0.26723769865919,BB47CHm0569,False,True
2371,-0.4852385265966566,BB47CHm0571,False,True
2372,-0.7704914081523235,BB47CHm0572,False,True
2374,1.5334914768590964,BB47CHm0574,False,False
2375,-0.39980396625548265,BB47CHm0575,False,True
2377,0.16900267479080944,BB47CHm0577,False,False
2379,-0.1356213519370454,BB47CHm0579,False,True
2380,0.7941755811668514,BB47CHm0580,False,False
2382,-0.1955240224753729,BB47CHm0582,False,True
2384,-0.6236091617358581,BB47CHm0584,False,True
2388,1.6260161898509655,BB47CHm0588,False,False
2389,2.5049941119416745,BB47CHm0589,False,False
2392,-0.15361699309693325,BB47CHm0592,False,True
2396,1.5994590469902796,BB47CHm0596,False,False
2398,2.538017319656542,BB47CHm0598,False,False
2399,0.8498597177911786,BB47CHm0599,False,False
2701,-0.024947015230617486,BB47nHm0001,False,False
2704,-0.4822409245609973,BB47nHm0004,False,True
2707,0.5994507017992018,BB47nHm0007,False,False
2708,-0.16192307507006426,BB47nHm0008,False,True
2711,-0.0018154276440140167,BB47nHm0011,False,True
2712,-0.2963372803209992,BB47nHm0012,False,True
2713,2.1772081288969183,BB47nHm0013,False,False
2714,0.19898239551925875,BB47nHm0014,False,True
2718,-0.3212963483316098,BB47nHm0018,False,True
2719,-1.0675500513612677,BB47nHm0019,False,True
2720,-0.016083831443995358,BB47nHm0020,False,True
2721,0.4967656501131483,BB47nHm0021,False,False
2729,1.921932939151632,BB47nHm0029,False,False
2731,-0.2470048038698996,BB47nHm0031,False,True
2732,-0.4208475320009225,BB47nHm0032,False,True
2733,-0.6795753782511329,BB47nHm0033,False,True
2737,2.7673425912685548,BB47nHm0037,False,False
2742,0.9792497936509404,BB47nHm0042,False,False
2745,-0.6863124840666577,BB47nHm0045,False,True
2747,2.618391213708529,BB47nHm0047,False,False
2748,-0.4712834910388185,BB47nHm0048,False,True
2749,-0.007197575142798094,BB47nHm0049,False,True
2751,-0.5395744764600472,BB47nHm0051,False,True
2752,-0.4028071143756724,BB47nHm0052,False,True
2754,1.0604237499991271,BB47nHm0054,False,False
2755,0.7496507099679552,BB47nHm0055,False,False
2756,0.8367561305547049,BB47nHm0056,False,False
2759,-0.15322366214199698,BB47nHm0059,False,True
2760,-0.2354462474731636,BB47nHm0060,False,True
2761,-0.2208232106798481,BB47nHm0061,False,True
2762,-0.4739243797930137,BB47nHm0062,False,True
2765,-0.3489367812457631,BB47nHm0065,False,True
2766,0.27156006326401205,BB47nHm0066,False,True
2767,-0.4828183771725364,BB47nHm0067,False,True
2769,-0.10785289733554697,BB47nHm0069,False,True
2770,-0.109413213282173,BB47nHm0070,False,True
2771,0.020006906213891142,BB47nHm0071,False,True
2773,1.0064651716748665,BB47nHm0073,False,False
2774,-0.14389185612179534,BB47nHm0074,False,True
2775,-0.5297724070845655,BB47nHm0075,False,True
2777,-0.1284572843728098,BB47nHm0077,False,True
2779,-0.4329201279761973,BB47nHm0079,False,True
2780,-0.3334130396124542,BB47nHm0080,False,True
2783,-0.6132973835124664,BB47nHm0083,False,True
2788,-0.18752387719384575,BB47nHm0088,False,True
2789,0.18656968431926846,BB47nHm0089,False,True
2790,0.4732127519617009,BB47nHm0090,False,False
2791,-0.7560532352868943,BB47nHm0091,False,True
2792,-0.08346926774257163,BB47nHm0092,False,True
2794,0.21729169090291184,BB47nHm0094,False,True
2795,0.18035094842925534,BB47nHm0095,False,True
2796,0.6654332242214973,BB47nHm0096,False,False
2797,0.9694008565054524,BB47nHm0097,False,False
2798,-0.5224746626874575,BB47nHm0098,False,True
2802,0.7986505385725442,BB47nHm0102,False,False
2803,-0.4644033457734356,BB47nHm0103,False,True
2804,3.547778188683876,BB47nHm0104,False,False
2805,-0.234269023846219,BB47nHm0105,False,True
2808,-0.13276883828115554,BB47nHm0108,False,True
2812,-0.26996436232339194,BB47nHm0112,False,True
2814,-0.35063050730989986,BB47nHm0114,False,True
2815,1.230146405827366,BB47nHm0115,False,False
2816,0.2486942549676361,BB47nHm0116,False,False
2817,0.6256658290998036,BB47nHm0117,False,False
2818,0.8533248086887892,BB47nHm0118,False,False
2819,2.4199520984791065,BB47nHm0119,False,False
2820,0.1002565039504949,BB47nHm0120,False,True
2822,0.5234136446814028,BB47nHm0122,False,False
2823,-0.0717626504481689,BB47nHm0123,False,True
2826,-0.3547955085671666,BB47nHm0126,False,True
2827,1.35122954191679,BB47nHm0127,False,False
2829,1.8255787714880891,BB47nHm0129,False,False
2831,1.1119694826272473,BB47nHm0131,False,False
2832,-0.3865822072616829,BB47nHm0132,False,True
2833,-0.03385346033994721,BB47nHm0133,False,True
2834,0.037914151938118264,BB47nHm0134,False,True
2835,0.8852283665665137,BB47nHm0135,False,False
2837,2.192133131149005,BB47nHm0137,False,False
2839,-0.8859956570619392,BB47nHm0139,False,True
2843,0.5726534001788649,BB47nHm0143,False,False
2844,-0.2981475052904774,BB47nHm0144,False,True
2849,-0.8719943871139186,BB47nHm0149,False,True
2850,1.0083386833196797,BB47nHm0150,False,False
2851,2.20735597386236,BB47nHm0151,False,False
2852,0.646845521995308,BB47nHm0152,False,False
2853,-0.3602117044280844,BB47nHm0153,False,True
2856,-0.4921270730036185,BB47nHm0156,False,True
2857,-0.011623811645088751,BB47nHm0157,False,True
